p_id,u_id,u_rate,review,review_en
g1410,.,1,없는곡이 너무 많아요 특히 신곡 업로드가 너무 안되고 마이크 혹은 리모콘 버튼이 빠져있다던지 불편해요,"There are so many songs that I don't have. Especially, it's hard to upload a new song and it's uncomfortable if the microphone or remote control button is missing."
e311,.,1,알바 있는 이유가 청소랑 힌트 주는 것 땜에 있는거 아닌가 힌트 주는거 겁나 짜증내고 귀찮아함 답 이거 맞냐 하니까 말 끝나기도 전에 아니요 이러고 개단호하게 말하던데 다시는 안 감 대학로에 방탈출카페 여기만 있는 것도 아니고,"The reason why I have a part-time job is because of cleaning and giving hints is because I'm so annoyed and annoyed to give hints, and even before I'm done, he said, ""No, no, no, no, no, no, no, no, no, no, no, no, there's no room escape cafe in Daehak-ro anymore."
a113,.,1,불친절하고 비싸요,Unkind and expensive.
c167,.,3,보통이에요,Normal.
g287,.,1,별로예요,I don't like it.
e113,.,5,갑자기 하고 싶어서 근처 찾다가 여기 리뷰 없어서 기대 안하구 갓는데 퀄리티 좋음.. 추천!!,"I suddenly wanted to do it, so I was looking for it nearby, but I didn't expect it because there was no review here, but.. Recommendation!!"
c44,.,1,학생이라고 무시하고 주문도 안 받아줘요 다시 안 올 겁니다 불친절 끝판왕 ,Ignore him as a student and don't take orders. He won't come back. an unkind and unkindness
a78,.,5,(우유)하여튼~볼링도○도못치는것들이 볼링장공으로 스핀날리고안돈다고 ○○○○해요~~볼링장에서 볼링장공으로 스핀 도는볼링장은 한번도못봤네요~잘좀치고 바닦탓하고 기름탓하세요~~한심한것들.쯧쯧,"(Milk) Anyway, the things you can't even bowl and can't spin with a bowling ball. It's ○○○.~I've never seen a bowling alley spinning around a bowling alley.Take care of yourself, and blame the oil.~~Sad things.쯧쯧"
c169,.,2,조금 아쉬워요,It's a little disappointing.
f2012,.,1,너무 개연성이 없는 쌩억지 스토리...,It's a very improbable story.
g51,.,2,깔끔하긴 한데...너무 비싸요,"It's neat, but...It's too expensive."
f255,.,1,강아지가 시크하다.....,The puppy is chic...
f1712,.,5,저만 알고싶어서 별 한 개 주려다가,I wanted to give you a star.
e68,.,5,재밌어요~,It's fun~
a811,.,1,대기했는데 여자직원이 이름도 안부르고 그냥 대기명단에 이름 지웠어요. 미안하다는 말도 없고 다음번에 넣어준다고 하더라고요. 정말 불친절해요. 별 한개도 아까워요.,"I waited, but the female staff didn't even call my name and just deleted my name from the waiting list. He didn't say sorry, but he said he would put it in next time. It's really unkind. I don't want to waste a single star."
e34,.,2,"밑에 다른 이용자분 말씀에 공감해요 직원들 너무 친절하시지만 상황대처가 제대로 되지 않았고 많이 미숙해요 문에 자물쇠가 열려있고 중간에 오셔서 다시 닫으시는 둥 힌트 문자를 잘못 보내시고 기본적인 것들이 지켜지지 않았어요 
새로운 테마와 깔끔한 내부횐경은 좋았지만 싸지 않은 가격에 만족스럽지는 않았네요 저는 열쇠가 잘 풀리느냐마느냐가 방탈출에서는 중요하다 생각하거든요 답이 맞았는데도 불구하고 잘 열리지 않게되면 답을 다시 찾는데 시간을 쏟기 때문에 한번에 잘 열려야된다 생각하는데 자물쇠도 개선이 좀 필요할거 같아요 접기",0
g224,.,5,여기 코노가 제일 시설도 좋고 깔끔해요!,Cono here has the best facilities and is clean!
g1510,.,1,없는곡이 너무 많아요 특히 신곡 업로드가 너무 안되고 마이크 혹은 리모콘 버튼이 빠져있다던지 불편해요,"There are so many songs that I don't have. Especially, it's hard to upload a new song and it's uncomfortable if the microphone or remote control button is missing."
f2512,.,1,.,.
f245,.,1,강아지가 시크하다.....,The puppy is chic...
g213,.,1,들어가자마자 불친절하게 자리 없다고 해서 대기 인원 물어봤는데 나가라는 식으로 말해서 돌아서니까 다 들리게 뒤에 대고 중얼거리시는 거 다 봤습니다. 그냥 친구들이랑 들어가서 놀려다 기분만 팍 상하고 나왔었어요. 코노 특성상 직원이 관여할 일이 없는데도 불구하고 직원 때문에 불쾌함만 늘었습니다. 어차피 천 원에 네곡은 다 똑같은데 굳이 기분 나빠가면서까지 여기 갈 필요는 없을 것 같네요. 굉장히 실망스러웠습니다.접기,"As soon as I went in, he said there were no seats left, so I asked him to leave, so I saw him muttering behind me so that I could hear everything. I just went in with my friends and made fun of them, and I just got upset. Despite the fact that there is no employee involvement due to the nature of the coin, the employee's discomfort has only increased. All four songs are the same for 1,000 won anyway, but I don't think we need to go all the way here. It was very disappointing.Folding"
f2114,.,5,음식도 존맛이고 친절하시고 책 보유양도 제일좋은듯 ㅋㅋ 여기만가고싶음,"The food is delicious and kind, and the amount of books I have is the best. I want to go there."
g78,.,1,개썩었음 남사장 ○○○ 싸가지없네 ,"What a mess, Mr. President. ○○○."
f51,.,1,다양한 게임 해보고 싶어서 간건데 종류도 적은데다 추천받기에도 눈치보이고 설명도 제대로 안해줘서 보드게임 하시러 가실 분들에게는 비추합니다. 담배냄새도 심합니다.,"I went there because I wanted to play various games, but there are only a few kinds of games, and they don't really explain it, so I don't recommend it to anyone who wants to play board games. The smell of cigarettes is also bad."
a18,.,5,최고예요,It's the best.
f214,.,4,위생이랑 친절도는 모르겠는데 먹을 거 무제한에 좌석은 시간 무제한이라 메리트 큼...,"I don't know about hygiene or kindness, but there's no limit to food and no time limit for seats, so it's like Merritt."
c166,.,4,평일에 가는걸 추천함 주말엔 사람이 너무 많음,I recommend going on weekdays. There are too many people on weekends.
c1610,.!.!,1,2시간요금제 음료한다했는데 결제할때 따로따로 계산해놓음,"I heard you're going to drink a two-hour beverage, but you pay separately when you pay."
e313,..,1,비추 정말 자물쇠를 위한 자물쇠에의한 방탈출... 설득력 없는 억지스러운 문제들 쉽게 풀어갈수록 실망만 커졌네요 아주 돈이 아까워요 방탈출도 퀄리티가있잖아요 여기는 정말 가본곳중 손에 꼽히는 허접스러움,"It's really a room escape from a lock for a lock. The easier I can solve these unconvincing problems, the more I'm disappointed. It's a waste of money. Escape rooms are high quality. This place is one of the most sloppy places I've ever been to."
f2012,..,1,비추 정말 자물쇠를 위한 자물쇠에의한 방탈출... 설득력 없는 억지스러운 문제들 쉽게 풀어갈수록 실망만 커졌네요 아주 돈이 아까워요 방탈출도 퀄리티가있잖아요 여기는 정말 가본곳중 손에 꼽히는 허접스러움,"It's really a room escape from a lock for a lock. The easier I can solve these unconvincing problems, the more I'm disappointed. It's a waste of money. Escape rooms are high quality. This place is one of the most sloppy places I've ever been to."
f1912,..,1,비추 정말 자물쇠를 위한 자물쇠에의한 방탈출... 설득력 없는 억지스러운 문제들 쉽게 풀어갈수록 실망만 커졌네요 아주 돈이 아까워요 방탈출도 퀄리티가있잖아요 여기는 정말 가본곳중 손에 꼽히는 허접스러움,"It's really a room escape from a lock for a lock. The easier I can solve these unconvincing problems, the more I'm disappointed. It's a waste of money. Escape rooms are high quality. This place is one of the most sloppy places I've ever been to."
c198,...,5,꼬맹이들 떠드는거 말고 다 좋습니다~!,I like everything except kids talking~!
c162,...,1,볶음밥 등의 메뉴는 없습니다. (2013년 때 이후 없어진 듯),There is no menu such as fried rice. (as if it's gone since 2013)
f253,...,1,별로예요,I don't like it.
f243,...,1,별로예요,I don't like it.
f234,.형민,1,불친절함,unkindness
c186,.형민,1,불친절함,unkindness
c169,0,5,댓글보니 케바케인듯 1년 반정도 이용중인데 갈때 마다 친절하셨어요. 요즘엔 코로나때문에 마스크 착용하라고 안내해주시던데 오히려 안따라주는 다른 손님들이 눈살찌푸려지게 만들고 남자직원 혼자서 맨날 하나하나 꼼꼼히 케어해줘서 다른데보다 안심하고 방문합니다. 저는 항상 감사하게 이용중이에요. 서비스 자주 챙겨주시고 기억해주셔서 감사합니다 ㅎㅎ,"I saw in the comments that I've been using it for about a year and a half, and he was kind every time I went. These days, they're telling me to wear a mask for Corona, but it's different because other customers who don't follow them make my eyes fatter and the male staff takes care of each one of them every day.Visit with more confidence. I'm always using it with gratitude. Thank you for remembering and taking care of the service often. Haha"
g414,0,1,절대가지마세요 마이크 쓰레기○임 20년전꺼씀 안들림 ㄷㄷ,"Don't ever go, Mike. It was 20 years ago."
g514,0,1,절대가지마세요 마이크 쓰레기○임 20년전꺼씀 안들림 ㄷㄷ,"Don't ever go, Mike. It was 20 years ago."
c60,00,1,비싼편이고 여자사장은 자리가 안나는걸 소개시켜줘서 계속 기다리게 만드는데 먼저 물어보지 않으면 말고식으로 사람을 들여보냄. 두번은 가고싶지 않은곳,"It's expensive, and the boss introduces us to the seats so we can keep them waiting, but if we don't ask first, we send people in as a horse. A place I don't want to go twice."
g13,00,2,한곡에 500원.. ,500 won per song.
c189,00,3,드래곤볼 1편 부분부분이 상당량 찢어져서 아쉬웠다..ㅠ,It was a shame that the first part of the Dragon Ball was torn.ᅲ
f1711,001999,1,"사장/직원/고양이 모두 매우매우 예민  비위잘맞추시는 분은 가셔도 좋아요  아이들(유아,초등학생) 많습니다. 참고하세요","/ staff / cats are very very keen to please the president well, I don't mind if you go.  There are many children (infants, elementary school students). Please refer to it."
f2112,0070,1,직원들 ㅆㄱㅈ없음 술먹다기분잡칠듯,"If the employees don't pay, they'll be in a lot of trouble drinking."
f1714,01,2,일행이랑 저 오늘 여기 말고는 다른 곳에서 따로 식사나 간식 안 먹었는데 계속 배 아프네요 저만 아픈 거면 그러려니 할 텐데 일행도 아픕니다,"I haven't had a meal or snack anywhere else except here today, but my stomach keeps hurting. If I were the only one sick, they would say so, but they're sick, too."
a514,0282,5,타임스퀘어  쇼핑말고는 딱히 할만한게 없었는데 여러가지 한번에 즐길수 있는 곳이 생겨서 너무 좋아요~    먹을것도 많고  깨끗하고  너무너무  만족스럽게 즐기다 왔습니다~  자주 애용할게요!!   ,There was nothing special to do except shopping at Times Square. I'm so happy to have a place where I can enjoy all kinds of things at once. There's a lot to eat and it's clean and I enjoyed it so much.  I'll use it often!!
a614,0282,5,타임스퀘어  쇼핑말고는 딱히 할만한게 없었는데 여러가지 한번에 즐길수 있는 곳이 생겨서 너무 좋아요~    먹을것도 많고  깨끗하고  너무너무  만족스럽게 즐기다 왔습니다~  자주 애용할게요!!   ,There was nothing special to do except shopping at Times Square. I'm so happy to have a place where I can enjoy all kinds of things at once. There's a lot to eat and it's clean and I enjoyed it so much.  I'll use it often!!
g139,033,1,사장? 직원분이 굉장히 기분나쁘게 말하네요. 주변에 코노 많은데 ㅋㅋ,The boss? The staff is very upset. There are a lot of coin karaoke around here.
c41,0419,1,직원교육 좀 하셔야할듯.. 특히 여자직원분 귀찮다는 듯한 느낌이 확 들어서 기분 나빴어요 다신 가고 싶지 않아요..,You're gonna have to do some staff training. I was especially upset because I felt like I was bothering a female employee was annoying. I don't want to go again.
c51,0419,1,직원교육 좀 하셔야할듯.. 특히 여자직원분 귀찮다는 듯한 느낌이 확 들어서 기분 나빴어요 다신 가고 싶지 않아요..,You're gonna have to do some staff training. I was especially upset because I felt like I was bothering a female employee was annoying. I don't want to go again.
d210,09_행정_승현,1,여기 진짜 쓰레기입니다.특히 사장진짜 인성이 못되었더군요카드분할결제 거부하면 불법인지 모르나봅니다.손님한테 내가안된다는데 어쩔꺼냐는식이네요참고나왔지만 그냥안넘어갑니다.,"This is real trash.Especially the boss wasn't very human.If you refuse to pay by credit card, it may be illegal.He's asking the customer what they're going to do if they don't want me.I put up with it, but I won't let it go."
c172,1,1,"문제 억지스럽고 매우 답답함
게다가 힌트 달라고 인터폰으로 말씀 드리는데 남자 알바생 말 엄청 답답하게 해서 알아듣지도 못하겠고, 나중에 갈수록 짜증내듯이 말함ㅋㅋ
방향키 자물쇠 하나가 죽어도 안되서 힌트 달라 했는데 그것도 뭐라하는지도 못알아듣게 힌트 줬고, 우리가 그럼 일단 첫번째가 뭐냐고 물었는데 스포라서 알려줄수 없다함ㅋㅋㅋ 우리가 그 문제에 10분 넘게 끙끙대고 있는데 융통성이란 없었고,
결국 나중에 보니까 우리가 푼 답이 맞았었고, 그 답을 몇번이나 입력 했는데 계속 안되서 결국 실패하고 끝났고, 다른 알바생이 들어와서 해줬는데 그때는 또 엄청 세게 하니까? 됐음ㅋㅋㅋㅋㅋ진짜 ㅈㄴ 어이없음
내가 방탈출 30번을 넘게하면서 방향키 자물쇠 한두번 써본것도 아닌데 그렇게 안되는 것도 어이없었고, 문제 많이 못풀어서 뒷 내용은 알려줄 수 없다고? 하면서 우리는 그 테마 결론도 모른채로 나옴ㅋ 다신 안감 개비추접기",0
e79,1,5,친구들이랑 같이 다녀왔는데 새로오픈해서 그런지 신선한테마들이 많이 있네요 ㅎㅎ 재밌어요! 강추!,"I went with my friends, and maybe it's because it's newly opened, but there's a lot of fresh horses. It's fun! I strongly recommend it!"
f148,1,1,종업원 싸가지없음,Employee's cheap.
f158,1,1,종업원 싸가지없음,Employee's cheap.
a26,1,1,별 하나도 아까워요 공 던지고있는데 갑자기 청소한다고 비키라고하지 않나 캐셔도 불친절하고 동호회 위주로만 운영하는것 같아요 일반인은 안중에도 없는것 같습니다 신발도 엄청 꼬지고 여러번치려고 왔는데 기분 팍 상하고 한번만 치구 나왔네요 가격은 싸네요 다신 안갈거에요.. 절대루,"It's a waste of stars. I'm throwing a ball, and I'm telling you to move out of the way because I'm cleaning up, but you're unfriendly and I think you're only running a club. I don't think he cares about the general public. I've been trying to hit my shoes many times, but I'm so upset and I've only hit them once. It's cheap. I won't go again. absolute loo"
e311,1,1,"문제 억지스럽고 매우 답답함
게다가 힌트 달라고 인터폰으로 말씀 드리는데 남자 알바생 말 엄청 답답하게 해서 알아듣지도 못하겠고, 나중에 갈수록 짜증내듯이 말함ㅋㅋ
방향키 자물쇠 하나가 죽어도 안되서 힌트 달라 했는데 그것도 뭐라하는지도 못알아듣게 힌트 줬고, 우리가 그럼 일단 첫번째가 뭐냐고 물었는데 스포라서 알려줄수 없다함ㅋㅋㅋ 우리가 그 문제에 10분 넘게 끙끙대고 있는데 융통성이란 없었고,
결국 나중에 보니까 우리가 푼 답이 맞았었고, 그 답을 몇번이나 입력 했는데 계속 안되서 결국 실패하고 끝났고, 다른 알바생이 들어와서 해줬는데 그때는 또 엄청 세게 하니까? 됐음ㅋㅋㅋㅋㅋ진짜 ㅈㄴ 어이없음
내가 방탈출 30번을 넘게하면서 방향키 자물쇠 한두번 써본것도 아닌데 그렇게 안되는 것도 어이없었고, 문제 많이 못풀어서 뒷 내용은 알려줄 수 없다고? 하면서 우리는 그 테마 결론도 모른채로 나옴ㅋ 다신 안감 개비추접기",0
g169,11,1,"개포동에 코노 없는줄 알고 대치쪽만 가다 동네에 있는거 알고 처음 가봤는데 한시간, 30분 결제가 안되더라구요 다른 곳은 카운터에서 카드 결제 하고 원하는(비어있는) 방 들어가서 충전 시간 부를 수 있었는데 여기는 개별적으로나 방에 있는 기계를 통해 카드 결제 해야되고 카드 결제 가능한 방이 다 차면 아예 이용 불가능한게 좀 특이했습니다; 동네에 있으니 장사 되지 다른 코노 밀집된 곳에선 경쟁력 없을 곳 같았어요 
접기",0
a11,11qaqa,5,코로나로 인해 4월6일부터 정상영업 한대여,A normal business from April 6th due to Corona.
e43,121,5,친절합니다 ,Kindness.
e53,121,5,친절합니다 ,Kindness.
g154,1234,1,"1.18일 여기서 카드지갑 도난당했습니다.
CCTV확인 요청 문자드렸는데 주인장으로터 회신 일절없었고 결국 경찰분들 돌려보내야했습니다.

방문할때마다 무인시스템인듯하고 평소 관리가 전혀 안되는것같다.. 싶었지만 고객이 물건도난 당했는데도 무관심한 곳은 처음 봤어요.

그리고 가져간 사람아. 그거 보증서랑 케이스도 없어서 수리안돼요.
어차피 가죽이라 닳을텐데 중고로 파시게요? 누가 그걸 믿고 사요; 지갑이야 또 사면 그만인데 참... 누군지몰라도 인생을 대하는 마인드가 하찮네요.접기",0
c160,1234,5,최고예요,It's the best.
g144,1234,1,"1.18일 여기서 카드지갑 도난당했습니다.
CCTV확인 요청 문자드렸는데 주인장으로터 회신 일절없었고 결국 경찰분들 돌려보내야했습니다.

방문할때마다 무인시스템인듯하고 평소 관리가 전혀 안되는것같다.. 싶었지만 고객이 물건도난 당했는데도 무관심한 곳은 처음 봤어요.

그리고 가져간 사람아. 그거 보증서랑 케이스도 없어서 수리안돼요.
어차피 가죽이라 닳을텐데 중고로 파시게요? 누가 그걸 믿고 사요; 지갑이야 또 사면 그만인데 참... 누군지몰라도 인생을 대하는 마인드가 하찮네요.접기",0
f1612,1234,5,최고예요,It's the best.
f166,12reo25,5,커피가 좋았던 카페,The cafe where I liked coffee.
c173,150,5,사장님이 설명도 잘 해주시고 친절하세요.,The boss explains well and is kind.
b42,2020년 화이팅!,5,좋습니다~,Great~
b28,2020년 화이팅!,5,최고예요,It's the best.
b10,2020년 화이팅!,5,따듯,Warm
b33,2020년 화이팅!,5,아름다운곳,a beautiful place
b44,2020년 화이팅!,5,최고예요,It's the best.
g71,34번버스,1,무인이라서 관리도 잘안함 비회원차별에 키오스크 주제 현금만 받음 곡 입력후 반주가 안나와도 차감됨,"Unmanned, not well managed. Non-members discriminated against and only received cash under the theme of kiosk. After entering the song, the accompaniment is deducted."
c82,3식2,5,글모아 만화카페 전화번호가 틀립니다. 02-852-7101 로 전화주세요 ^^,The phone number of the Glomoa cartoon cafe is wrong. Call 02-852-7101. ^^
f33,3점이평균값,3,알바생들끼리 게임하고 있당ㅎ;,The part-timers are playing games.
a42,49,1,최근 공사로 시설은 좋아졌습니다. 하지만 일하시는 아줌마 겁나 불친절.. ,"The facilities have improved recently due to construction. But the lady who works, she's so unkind."
f2314,5점만점기준,5,관악구 힙합펍 원탑 ㅇㅇ,Gwanak-gu Hip Hop PUB ONE TOP O.K.
f29,686,4,보드게임 설명을 컴퓨터로만 들을 수 있는 게 단점. 그래서 손님들이 직접 게임을 관리하니 게임 자체 관리가 잘 안 되어있는 느낌(카드가 섞여있다거나 주사위가 없다거나) 그래도 무제한 이용 요금이 아주 저렴해서 괜찮은 듯,"The downside is that you can only listen to board game descriptions on your computer. So when the guests manage the game themselves, it feels like the game itself is not well managed (such as a mix of cards or no dice), but it's okay because the unlimited fee is very cheap."
b30,??,5,굿,Good
f1611,@,1,"진짜 별로에요 보드게임 하러 간 건데 종류 별로 없어서 실망하고 보드게임만 있는 카페는 아니니 그렇다 쳐도 여러 개 꺼내봤는데 죄다 주사위든 뭐든 구성품 없어서 제대로 하지도 못했네요; 노래방기계는 마이크 둘중에 하나는 또 안되고 기계 자체가 베란다 구석에 낑겨넣어서 통로 미친듯이 좁고 이거 안전 관련 허가도 못받았을거 같네요
만화방이라고 써있는 것도 말뿐이지 책장 두개가 끝
진짜 사람을 어떻게 하면 화나게 할 수 있는지 보려고 만들어놓은거같다고 얘기하다 나옴ㅋㅋㅋㅋㅋㅋ
진짜 비추...
접기",0
c139,@@,5,"지도로 검색해보고 다니는데, 여기는 만화카페로 검색하면 안 나오더라고요. 요즘 정책이 바뀐 건지 그런데가 많습니다. 아무튼 지도보고 다른 만화카페 가다가 눈에 띄어서 한 번 들어왔는데 넓고 자리많고 좋네요. 이 쪽 다음에 오면 또 올 거 같네요.","I search on the map, but it doesn't come out if I search on the cartoon cafe here. There are a lot of changes in policy these days. Anyway, I saw a map and went to another comic cafe. I came here once. It's spacious and has a lot of seats. It's nice. I think I'll come again next time I come here."
g25,@JLP,1,음향시설 꽝,Acoustic Facility Quang
f1711,@dububrow,5,고양이카페 여러 군데 가봤는데 제일 좋았어요. 순한 고양이들을 보니 사장님이 신경을 많이 쓰시는것같아요. 좋은시간 감사합니다,"I went to several cat cafes and it was the best. Looking at the gentle cats, the boss seems to care a lot. Thank you for a good time."
f182,A,5,가격이 최고입니다! 음식 품질이 좋습니다!! ,The price is the best! Food quality is good!!
