,u_id,title,review,u_rate,place_name,p_id
52,mkbymk,너무 넓은 그곳,"공연 및 전시도 종종 이루어지고, 주말엔 가족들과 나들이하기에 좋은 곳 입니다. 규모가 너무 커서 걷다가 쉬다가 하기에 좋습니다. 돗자리 하나 챙겨 방문하거나, 자전거, 스케이트보드 등 취미활동을 하기에 적합합니다.",4,올림픽공원,12
53,민영 송,토끼들이 뛰어노는 귀여운 공원~ㅋㅋ,토끼산책을 가면 잡은줄알고 놀라하시더라구요... 잡은거 아니고 애완토끼인데 ㅜㅜㅋㅋ 외국인친구와 피크닉 가기 좋다고 봅니다,4,올림픽공원,12
54,마노,자전가 타기 좋아요,생각보다 규모가 큽니다 한바퀴 빙 운동하듯 산책해도 좋고 가족단위면 사륜자전거로 한바퀴 돌아봐도 좋아요. 아이들이 좋아합니다.,5,올림픽공원,12
55,hongs925,엄청 큰 공원,주차장도 엄청 넓고 공원 주변으로 둘레길처럼 산책길이 조성되어 있습니다 가족들끼리 자전거 대여해서 타시는 분들도 많더라구요 몽촌토성역 근처에 먹을거리가 있어요,5,올림픽공원,12
56,Stereos,공원,"이만큼 넓은 공원도 없죠. 데이트 하기 좋은 공원입니다. 가끔 공연도 하고, 가족 나들이 좋아요.",3,올림픽공원,12
57,gami1023,서울 데이트코스 추천 올림픽공원 들꽃마루,가을 코스모스 즐기기에 정말 좋은 올림픽공원 들꽃마루. 여기는 남1문이 가까워요ㅎ 8호선 몽촌토성역에서 들꽃마루까지는 대략20분이 걸리고 5호선 방이역은 5분거리ㅎㅎ,5,올림픽공원,12
58,준일오,9/15 G70 Seoul 2017,현대자동차 제네시스 G70 launching concert G70 출시기념 콘서트입니다 Gwen Stefani 출연 올림픽공원 88 잔디마당,5,올림픽공원,12
59,apeach11,서울 공원투어 중 간곳,공원이 깔끔하고 제법 크며 볼거리가 많습니다. 다양한 꽃과 나무등은 보고 도심공원으로 푹 쉴수 있는곳,4,올림픽공원,12
60,123SDF,올림픽때 한번 가보고 근래에 방문한곳,올림픽 당시 어려서 저 평화의 문 앞에서 사진찍은것만기억나는데 거의 30년 만에 가본 저곳에 평화의 문은 예전에 봤던 감동 그 자체. 오래되었는데도 잘 관리되어 위용을 내뿜으며 서있는데 정말 반갑더라. 올림픽공원은 너무 커서 다 돌기는 힘들었지만 도심에서 힐링할수 있는 완벽한 장소 그리고 옆에 미술관도 있어서 문화생활도 즐길수 있다. 유일한 단점은 이상한 캐릭터들을 뜨문뜨문 동상처리해놨는데 흉물 좀 제거해줬으면 한다,4,올림픽공원,12
61,byounghwas,오래된 과거와 현재가 공존하는 역사적인 장소이면서 산책로로 활용하는 공원,"한국에서 1988 올림픽을 기념하기 위해 설립한 공원으로 삼국시대의 토성, 세계각국의 유명한 예술가들의 조형작품이 산재하여 역사적으로도 예술적으로도 세계적인 공원이라 할 수 있음. 공원 안에도 식당 패스트푸드점 카페 호텔 등이 있지만 공원 근처에도 다양한 편의 시설이 많아 편하게 즐길 수 있음. 주차장도 펼리하게 이용가능함.",5,올림픽공원,12
62,goosemana,올림픽공원 갈때마다 새롭내요.,다른나라에서도 이렇게 좋은 공원은 드물어요. 각종 조형물과 박물관도 공원내에 위치하고있고 음식점도 있는 한국 최대규모의 공원 자랑스러운 대한민국의 공원입니다. 최고입니다.,5,올림픽공원,12
63,형근 김,올림픽 공원,"가족들이 산책하기 참 좋습니다. 넓은 잔디밭에 호수가 있고 산책로도 잘 되어 있습니다. 대신 그늘이 별로 없어 여름 보다는 봄, 가을이 더 좋을 것 같네요.",5,올림픽공원,12
64,modudada,도시에서 느끼는 작은 여유,시내에서 지내다 보면 자연을 보기가 힘든데 초록초록 나무도 꽃도 많아서 좋아요. 생각보다 정말 많이 넓어서 운동화 필수! 돗자리 필수! 나홀로 나무 말고도 볼거 많아요! 주차도 공용주차장을 이용! 저렴합니다,4,올림픽공원,12
65,73현기김,행복한 방문,자전거 바람 장미가 함께한 올림픽 공원. 하릴없이 걸어도 푸른 녹음에 지칠 줄 모릅니다. 서울재즈페스티벌으로 방문했다면 더 좋았을 거예요.,5,올림픽공원,12
66,Urizia J,공사중이라서 좀 시끄럽지만,지하철역에서 내려서 바로 갈 수 있고 선책하고 걷기에도 아주 좋은 공원 볕이 잘 들어서 따뜻하고 강아지 동반 가능함,5,올림픽공원,12
67,동환 김,산책하고 휴식에 좋은 공간,산책코스나 간단한 등반코스도 좋으며 정상에서 주위를 볼 수있는 확 트인 전망이 마음을 새롭게 해 줍니다. 시가지에 인접한 이런 공간은 드물 것입니다,5,올림픽공원,12
68,bonghwa,4월 꽃이 많은 공원,잔디와 꽃이 많은 공원이다 강아지도 출입이 가능하여 애견과 함께 온 사람이 많음 그늘막은 안되고 돗자리만 가능함,5,올림픽공원,12
69,nkpd00,산책하기 좋아요.,롯데월드타워 개장 기념으로 불꽃놀이를 한다고해서.. 올림픽 공원에서 잘 보일것 같아서 방문했습니다. 가깝진 않았지만 전체적인 모양은 잘 보이더군요. 올림픽 공원에는 군데군데 공사하는 곳이 있긴했지만 그래도 봄꽃이 피어서 산책하기에는 좋았습니다.,3,올림픽공원,12
70,jay600,송파 올림픽공원,"주말에 산책하기에 좋은 올림픽 공원입니다. 서울 남동쪽에 있는 가장 큰 공원으로, 공원 내에 음식점, 커피숍 등 편의시설도 많아서 가족들끼리 바람쐬기 좋습니다.",5,올림픽공원,12
71,인식 김,가족 나들이 최적의 장소,"10살, 8살 아이들 때문에 주말이나, 연휴가 되면 어딘가 놀러 갈만한 곳을 찾게 되는데, 주머니 사정이 좋지 않으니 테마파크를 찾아가기는 어렵다. 이럴 때 대안이 될만한 곳이 올림픽 공원. 집에서 대중교통(지하철)을 이용해서 가려면 1시간 내외를 가야하니 가까운 거리는 아니지만 후회없는 선택이 될 만한 곳. 아이들과 4인용 자전거를 빌려 타고 올림픽 공원 코스를 돌다보면 하루가 금새 지나버린다. 편의점에서 라면과 간식거리를 잔뜩 사들고 등나무 벤치에 둘러 앉아 요기를 떼우는 것도 나름 재미라면",5,올림픽공원,12
72,owerea,아주 큰 올림픽공원,계절에 따라 올림픽공원의 모습이 달라 좋아요. 공원내에 아이들 놀이 시설도 많고 음식점도 많습니다. 차는 좀 막혀요.,5,올림픽공원,12
73,Orbitalperiod,운동하기에 최고인곳,넓다. 조경도 잘 되어있다. 관광목적으로만 오기엔 조금 심심하지만 잠실사람들한테는 최고의 녹지가 아닌가 싶다.,5,올림픽공원,12
74,고등어2015,넓고 운동하기에 좋은 공원,운동하기에 정말 좋은 공원입니다. 서울 시내에서 이렇게 넓은 공원은 처음이었어요. 정말 송파구에서 제일 내세울만한 곳입니다. 평화의 문 주변은 참 아름답고 호수도 아름다워요. 도시 속의 아름다운 공원 꼭 와보세요. 몽촌토성도 걷기에 좋습니다.,4,올림픽공원,12
75,서리와바기,넓은게 장점이자 단점인 공원,공원이 엄청 넓습니다. 그래서 아이들과 함께 간다면 하루종일 뛰어놀 수있습니다. 공원 전체를 다 구경하려면 오전 오후를 전부 소비해야 할 정도입니다. 넓어서 뛰어 놀기는 좋지만 구경하려는 사람들에게는 추천하지 않습니다. 워낙 넓어서 하나 구경하고 다른곳으로 이동하는데 엄청 걷습니다. 가까워 보이는데 막상 걸으면 10~15분 이상 걸립니다. 그래도 요즘에 여기저기 잘 꾸며놔서 볼거리가 어느정도 있어서 좋습니다.,4,올림픽공원,12
76,lordauch,넓은 부지이지만 쉴곳은 부족한 장소,부지자체는 넓고 큰편입니다. 주로 조깅이나 산책에는 나름 괜찮지만. 공원자체를 즐기고 쉬기에는 나무도 적고 휴식시설도 별로 없어서 아쉬운 시설입니다. 밤에는 또 너무 어둡고요.,2,올림픽공원,12
77,qberwy,아주 넓고 쾌적한 공원,정말 넓고 쾌적한 공원이라서 어느 계절에 가도 산책하기도 좋고 사진찍기에도 좋습니다. 내부에 왕따나무는 사진찍기 인기 스팟입니다.,5,올림픽공원,12
78,태식 김,가족나들이로 너무 좋아요,"요즘 공사때문에 어수선하지만, 그래도 서울시내 몇 안되는 공원중에는 최고인듯...합니다. 천천히 산책도 즐길 수 있고 가족들이 하루 나들이 하기에는 너무 좋은곳입니다. 시간되시면 꼭 한번 가보시기를 권합니다. 단, 겨울에는 추우니까...보온에 신경쓰시고요... 봄여름가을은 정말 좋습니다.",5,올림픽공원,12
79,경구 조,사계절 데이트하기 좋아요,"집근처라 산책하기도 좋고, 한강까지 이어진 자전거도로도 좋고, 올림픽공원 근처 커피숍분위기좋아요. 그리고 콘서트도 자주 열러서 문화생활하기에도 제격ㅎㅎㅎㅎ",5,올림픽공원,12
80,은지 김,주말나들이하기좋아요,주말에 자전거타거나 산책하기 좋습니다. 요즘은 단풍구경하기도 좋겠네요. 규모가워낙 크다보니 사람이 많아도 크게 붐빈다는 느낌은 없습니다.,4,올림픽공원,12
81,lee9675,연인이나 기족과 산책을...,주로 봄이나 가을이 좋습니다. 가까운 곳에 잠실 롯데월드가 있기 때문에 연인과 영화나 식사 후 산책하면 좋습니다.,4,올림픽공원,12
82,으헤헤헤헹,여름에 가지마세요.,봄에 산책할겸 나들이 가세요 주변에 역이 있으니 접근성도 좋아요 다만 먹을게 문제라서 잠실까지 가셔서 맛난거 드세요.,5,올림픽공원,12
83,Songmi H,날이 좋을때 산보하고 공연하면 한류팬들이 참가하기 좋을듯합니다.,콘서트를 많이 하니까 한류팬들이 공연보러 오기 좋고 날이 좋으면 산보하면서 둘러보기 좋아요. 크게 볼거리는 없어요.,4,올림픽공원,12
84,deuxhan,한밤에 달리기~~,친구들과 자전거 들고 찾았던 올림픽공원 !! 조깅하기에 좋은 코스예요 운동삼아 가보면 좋은데 그 외에 일부러 찾아갈껀 없는듯합니다,3,올림픽공원,12
85,수진v,올림픽 공원 좋아요,"공원 조성 너무 잘되어있구요 봄,가을에는 피크닉하고 여름밤엔 산책하기 좋아요 지하철 버스 잘 되어있어서 접근성도 좋은거 같아요 다만 콘서트 있을때 끝나는 시간에는 지하철에 사람들 몰려서 타기가 힘듭니다",5,올림픽공원,12
86,체리요정,도심에서 휴식을 취하고 싶을때 방문하면 좋아요,돗자리 하나 들고 맛있는 음식을 가지고 가서 피크닉 하기 좋습니다. 산책하기에도 최적의 장소이구요 나무도 많아요 사진찍기도 좋구요,5,올림픽공원,12
87,원이와민이,넓은 공간의 도심 속 다채로운 휴식처,"도심속에 자리잡은 다채로운 휴식처에요 넓은 공간이라 산책로도 잘 되어 있고, 얕지만 언덕길도 있구요, 다양한 체육경기장에서 각종의 공연도 자주 열리고, 배드민턴 등 가볍게 운동하는 사람들도 있어요. 잔디밭도 넓고 조각품도 많아서 사진 찍기도 참 좋구요. 공원안에 롯데리아, 커피숍, 패밀리 레스토랑 등 다양한 음식점도 있어서 이용하기도 편리합니다. 공원 입장도 무료여서 자주 이용합니다.",4,올림픽공원,12
88,hyeje0n9,너무 넓다.,버스에서 정신 못차리면 비슷한 정거장이 너무 많아 엉뚱한 곳에 내리게 된다. 정신 똑바로 차리고 다닐 것.,4,올림픽공원,12
89,Minjin J,집근처! 운동하기도 좋고 피크닉에도 좋은,"집근처라 애기때부터 다니던 공원이에요 어렸을땐 각종 소풍과 학교 행사들이 다 이곳에서 이뤄진지라, 다른 곳도 가고싶었는데 커서 다니니 더 좋은 이곳 피크닉에도 좋구요. 운동하기도 아주 좋아요. 안에 시설들도 다 잘되어있는 편이고 초여름에 오면 야생화와 장미를 볼 수 있어서 더 멋진 장소에요.",5,올림픽공원,12
90,SeungchulShin,드넓은 공원,송파구에 위치한 올림픽공원입니다. 언제나 방문해도 자연을 느낄 수 있는 곳입니다. 주말에 가끔씩 콘서트가 열리면 조금 시끄럽기는 하지만 그 외에는 좋습니다.,5,올림픽공원,12
91,하나러브,조아요,잠실에 살아서 산책할 겸 운동겸 자주 가는데 갈때마다 힐링이 되요 유모차끄는 엄마들도 많고 연인 가족끼리도 많고 다양한 연령층이 서울 도심에서 힐링할 수 있는 공원이에요 공원 안 경기장에서 콘서트도 마니 개최되기도 하고 웨딩스냅 찍으러도 마니 와요,4,올림픽공원,12
92,vstellav,아무때나 가기좋은곳,"운동하러 가기도 좋고, 산책하며 거닐기에도 좋고, 공연이나 행사도 종종 열려 재밌습니다. 5,8 호선으로 접근가능하니 교통도 괜찮습니다. 밤이나 새벽에가면 공기도 상쾌해서 좋습니다",5,올림픽공원,12
93,투덜스머프,88올림픽이 생각나는 그 곳,세자르의 작품인 엄지손가락이 있고 88올림픽의 감동을 확인 할 수 있는 올림픽 공원. 다시한번 올림픽의 감동을..,4,올림픽공원,12
94,dongwookl28,서울의 최고 공원,넓기도 넓지만 서울 시내에 이렇게 나무와 잔디가 잘 되어 있는 곳도 없지요. 봄부터 가을까지는 가족들 나들이로도 최고인 공원이에요,5,올림픽공원,12
