,id,title,title_ko,rate,year,country,genre,running_time,contents
10,10,Exam,이그잼,3,2009,영국,스릴러,1시간 37분,"숨이 턱 막힐 것만 같은 음산한 분위기의 밀실. 창문 하나 없고 오직 8개의 책상과 의자만 덩그러니 놓여 있을 뿐인 이곳은 세계 최고기업 입사시험 마지막 관문을 치르기 위한 공간이다. 긴장감이 감도는 시험장에 서로 다른 성별, 인종, 외모를 가진 정체불명의 엘리트 응시자 8명이 들어온다. 그들은 모두 세계 최고기업 입사시험의 마지막 관문을 앞두고 있다.
 압도적인 카리스마와 냉정함이 물씬 풍기는 시험 감독관은 응시자들에게 세가지 규칙을 알려준다.
 첫째, 감독관과 경비에게 대화를 시도하지 말 것. / 둘째, 자신의 시험지를 손상시키지 말 것. / 셋째, 어떤 이유로든 이 방을 나가지 말 것.
 규칙을 어긴 사람은 바로 실격처리 된다는 얘기와 함께 감독관은 단 하나의 해답만이 있을 뿐이며 시험시간은 80분이라고 말한다. 감독관은 그 즉시 타이머를 작동시키고 방을 나간다. 응시자들은 시험 문제지를 확인하지만 거기에는 아무것도 쓰여있지 않자, 적잖이 당황하기 시작한다. 시간은 점점 흐르고 응시자의 초조함은 더해만 간다. 바로 그때, 응시자 중, 한 명이 시험 문제지에 글을 쓰자마자 실격되어 밀실에서 쫓겨나는데..."
11,11,Frozen II,겨울왕국 2,보고싶어요,2019,미국,애니메이션/모험/코미디/가족/판타지,1시간 43분,"내 마법의 힘은 어디서 왔을까?
나를 부르는 저 목소리는 누구지?

어느 날부턴가 의문의 목소리가 엘사를 부르고, 평화로운 아렌델 왕국을 위협한다. 트롤은 모든 것은 과거에서 시작되었음을 알려주며 엘사의 힘의 비밀과 진실을 찾아 떠나야 한다고 조언한다. 위험에 빠진 아렌델 왕국을 구해야만 하는 엘사와 안나는 숨겨진 과거의 진실을 찾아 크리스토프, 올라프 그리고 스벤과 함께 위험천만한 놀라운 모험을 떠나게 된다. 자신의 힘을 두려워했던 엘사는 이제 이 모험을 헤쳐나가기에 자신의 힘이 충분하다고 믿어야만 하는데…

11월, 두려움을 깨고 새로운 운명을 만나다."
12,12,Lone Survivor,론 서바이버,3.5,2013,미국,액션/드라마/전쟁/스릴러,2시간 1분,"2005년 6월 28일, 아프가니스탄에서 복무중인 네이비씰 대원 마커스, 마이클, 대니, 매튜는 미군을 사살한 탈레반 리더 ‘샤’를 체포하기 위한 ‘레드윙 작전’에 투입된다. 적진이 잘 보이는 곳에 자리를 잡고 본격적인 임무 수행을 위해 잠복해 있던 중, 산으로 올라온 양치기 소년 일행에게 정체가 발각된다. 완벽한 작전 수행을 위해 이들을 죽일 것인가, 교전 수칙에 의해 살릴 것인가! 윤리와 의무 사이, 선택의 기로에 놓인 대원들은 오랜 논쟁 끝에 이들을 살려주기로 한다. 그러나 이 선택은 그들에게 엄청난 결과를 가져오게 된다. 이들의 작전을 알게 된 탈레반은 빠르고 집요하게 4명의 네이비씰 대원들을 추격해오고, 본부와 통신이 두절된 네이비씰 대원들은 숫적 열세인 상황에서 격전을 벌이게 되는데... 이들은 모두 함께 살아서 돌아올 수 있을까?"
13,13,"I, Daniel Blake","나, 다니엘 블레이크",4.5,2016,"영국,프랑스,벨기에",드라마,1시간 40분,"""평범한 이웃 사촌, 당신은 내게 영웅입니다"" 평생을 성실하게 목수로 살아가던 다니엘은 지병인 심장병이 악화되어 일을 계속 해나갈 수 없는 상황이 된다. 다니엘은 실업급여를 받기 위해 찾아간 관공서에서 복잡하고 관료적인 절차 때문에 번번히 좌절한다. 그러던 어느 날 다니엘은 두 아이와 함께 런던에서 이주한 싱글맘 케이티를 만나 도움을 주게되고, 서로를 의지하게 되는데..."
14,14,Joker,조커,4,2019,미국,스릴러/드라마/범죄,2시간 3분,"“내 인생이 비극인줄 알았는데, 코미디였어”

고담시의 광대 아서 플렉은 코미디언을 꿈꾸는 남자. 하지만 모두가 미쳐가는 코미디 같은 세상에서 맨 정신으로는 그가 설 자리가 없음을 깨닫게 되는데…

이제껏 본 적 없는 진짜 ‘조커’를 만나라."
15,15,봉오동 전투,봉오동 전투,2,2018,한국,액션/드라마,2시간 15분,"1919년 3.1운동 이후 봉오동 일대에서 독립군의 무장항쟁이 활발해진다. 일본은 신식 무기로 무장한 월강추격대를 필두로 독립군 토벌 작전을 시작하고, 독립군은 불리한 상황을 이겨내기 위해 봉오동 지형을 활용하기로 한다. 항일대도를 휘두르는 비범한 칼솜씨의 해철(유해진)과 발 빠른 독립군 분대장 장하(류준열) 그리고 해철의 오른팔이자 날쌘 저격수 병구(조우진)는 빗발치는 총탄과 포위망을 뚫고 죽음의 골짜기로 일본군을 유인한다. 계곡과 능선을 넘나들며 귀신같은 움직임과 예측할 수 없는 지략을 펼치는 독립군의 활약에 일본군은 당황하기 시작하는데... 1920년 6월, 역사에 기록된 독립군의 첫 승리 봉오동 죽음의 골짜기에 묻혔던 이야기가 지금부터 시작된다."
16,16,Demolition,데몰리션,4,2015,미국,드라마,1시간 40분,"차 라디오에서 흘러나오는 음악을 따라 흥얼대는 줄리아, 휴대폰에서 눈과 손을 떼지 못하는 '데이비스'(제이크 질렌할), 여느 날과 다를 것이 없는 아침 출근길이다. 2주째 물이 새는 냉장고를 언제 고칠거냐는 아내 줄리아의 말에 처음 듣는다는 듯한 표정을 짓는 데이비스, 그것이 그들이 나눈 마지막 대화가 된다. 병원 대합실, 장인으로부터 아내의 사망소식을 전해 들은 데이비스는 아내의 흔적이 남은 병실을 확인하고, 신발에 묻은 피를 닦고, 자판기에서 초콜릿을 사먹으려 하지만 자판기가 고장이 난다. 갑작스런 줄리아의 죽음에 모두가 충격과 슬픔에 잠겨있는 가운데, 이상하게도 데이비스는 고장난 자판기가 가장 마음에 걸린다. 참다못해 펜을 든 데이비스, 자판기 회사에 보낼 편지를 써내려가기 시작한다. 항의로 시작한 편지에는 이내 아내의 죽음에 대한 이야기와 그 자신의 인생이 담긴다. 줄리아와의 결혼은 성공가도를 달리기 위한 선택이었다고 생각하는 데이비스는 아내의 죽음에 무감한 듯 지내지만 자꾸 알 수 없는 충동에 휩싸인다."
17,17,"Extremely Wicked, Shockingly Evil, and Vile",나는 악마를 사랑했다,3.5,2019,미국,범죄/드라마/스릴러,1시간 48분,오랜 여자친구 엘리자베스의 시점에서 그리는 살인마 테드 번디의 범죄 연대기
18,18,엑시트,엑시트,3,2019,한국,코미디/액션/재난/가족,1시간 43분,"짠내 폭발 청년백수, 
전대미문의 진짜 재난을 만나다

대학교 산악 동아리 에이스 출신이지만 졸업 후 몇 년째 취업 실패로 눈칫밥만 먹는 용남은 온 가족이 참석한 어머니의 칠순 잔치에서 연회장 직원으로 취업한 동아리 후배 의주를 만난다. 어색한 재회도 잠시, 칠순 잔치가 무르익던 중 의문의 연기가 빌딩에서 피어 오르 피할 새도 없이 순식간에 서울 도심은 유독가스로 뒤덮여 일대혼란에 휩싸이게 된다. 용남과 의주는 산악 동아리 시절 쌓아 뒀던 모든 체력과 스킬을 동원해 탈출을 향한 기지를 발휘하기 시작하는데…"
19,19,The Lion King,라이온 킹,3,2019,미국,모험/가족/드라마,1시간 58분,"새로운 세상, 너의 시대가 올 것이다!
어린 사자 ‘심바’는 프라이드 랜드의 왕인 아버지 ‘무파사’를 야심과 욕망이 가득한 삼촌 ‘스카’의 음모로 잃고 왕국에서도 쫓겨난다.

기억해라! 네가 누군지.
아버지의 죽음에 대한 죄책감에 시달리던 ‘심바’는 의욕 충만한 친구들 ‘품바’와 ‘티몬’의 도움으로 희망을 되찾는다. 어느 날 우연히 옛 친구 ‘날라’를 만난 ‘심바’는 과거를 마주할 용기를 얻고, 진정한 자신의 모습을 찾아 위대하고도 험난한 도전을 떠나게 되는데…"
20,20,Spider-Man: Far From Home,스파이더맨: 파 프롬 홈,3,2019,미국,액션/모험/코미디/SF,2시간 9분,"모든 것이 다시 시작된다

‘엔드게임’ 이후 변화된 세상, 스파이더맨 ‘피터 파커’는 학교 친구들과 유럽 여행을 떠나게 된다. 그런 그의 앞에 ‘닉 퓨리’가 등장해 도움을 요청하고 정체불명의 조력자 ‘미스테리오’까지 합류하게 되면서 전 세계를 위협하는 새로운 빌런 ‘엘리멘탈 크리쳐스’와 맞서야만 하는 상황에 놓이게 되는데…"
21,21,John Wick: Chapter 2,존 윅 - 리로드,3.5,2017,미국,범죄/액션/스릴러,2시간 2분,"업계 최고의 레전드 킬러 ‘존 윅’. 은퇴 후 평화로운 삶을 꿈꾸던 그의 계획은 ‘국제 암살자 연합’을 탈취하려는 옛 동료의 계획과 함께 산산조각난다. 친구의 목숨을 구하기 위해 로마로 향하는 ‘존 윅’, 하지만 그곳에는 전세계의 암살자들이 그를 노리고 있는데…"
22,22,John Wick,존 윅,3.5,2014,미국,스릴러/액션,1시간 47분,"전설이라 불리던 킬러 ‘존 윅’(키아누 리브스)은 사랑하는 여인을 만나 결혼을 하면서 범죄의 세계에서 은퇴한다.  행복도 잠시, 투병 끝에 부인이 세상을 떠나고 그의 앞으로 부인이 죽기 전에 보낸 강아지 한 마리가 선물로 배달된다.  그러던 어느 날, 그의 집에 괴한들이 들이닥치는데…"
23,23,돈,돈,2,2018,한국,범죄,1시간 55분,"“부자가 되고 싶었다”

오직 부자가 되고 싶은 꿈을 품고 여의도 증권가에 입성한 신입 주식 브로커 조일현(류준열). 빽도 줄도 없는, 수수료 O원의 그는 곧 해고 직전의 처지로 몰린다. 위기의 순간, 베일에 싸인 신화적인 작전 설계자 번호표(유지태)를 만나게 되고, 막대한 이익을 챙길 수 있는 거래 참여를 제안 받는다. 위험한 제안을 받아들인 후 순식간에 큰 돈을 벌게 되는 일현. 승승장구하는 일현 앞에 번호표의 뒤를 쫓던 금융감독원의 사냥개 한지철(조우진)이 나타나 그를 조여 오기 시작하는데…"
24,24,기생충,기생충,4,2019,한국,드라마,2시간 11분,"“폐 끼치고 싶진 않았어요”

전원백수로 살 길 막막하지만 사이는 좋은 기택(송강호) 가족. 장남 기우(최우식)에게 명문대생 친구가 연결시켜 준 고액 과외 자리는 모처럼 싹튼 고정수입의 희망이다. 온 가족의 도움과 기대 속에 박사장(이선균) 집으로 향하는 기우. 글로벌 IT기업 CEO인 박사장의 저택에 도착하자 젊고 아름다운 사모님 연교(조여정)가 기우를 맞이한다. 그러나 이렇게 시작된 두 가족의 만남 뒤로, 걷잡을 수 없는 사건이 기다리고 있었으니…"
25,25,Aladdin,알라딘,4,2019,미국,모험/코미디/가족/판타지/로맨스,2시간 8분,"머나먼 사막 속 신비의 아그라바 왕국의 시대. 좀도둑 ‘알라딘’은 마법사 ‘자파’의 의뢰로 마법 램프를 찾아 나섰다가 주인에게 세 가지 소원을 들어주는 지니를 만나게 되고, 자스민 공주의 마음을 얻으려다 생각도 못했던 모험에 휘말리게 되는데…"
26,26,배심원들,배심원들,3,2019,한국,드라마,1시간 54분,"국민이 참여하는 역사상 최초의 재판이 열리는 날. 모두의 이목이 집중된 가운데, 나이도 직업도 제각각인 8명의 보통 사람들이 배심원단으로 선정된다. 대한민국 첫 배심원이 된 그들 앞에 놓인 사건은 증거, 증언, 자백도 확실한 살해 사건. 양형 결정만 남아있던 재판이었지만 피고인이 갑자기 혐의를 부인하며 배심원들은 예정에 없던 유무죄를 다투게 된다. 생애 처음 누군가의 죄를 심판해야 하는 배심원들과 사상 처음으로 일반인들과 재판을 함께해야 하는 재판부. 모두가 난감한 상황 속 원칙주의자인 재판장 ‘준겸’(문소리)은 정확하고 신속하게 재판을 끌어가려고 한다. 하지만 끈질기게 질문과 문제 제기를 일삼는 8번 배심원 ‘남우’(박형식)를 비롯한 배심원들의 돌발 행동에 재판은 점점 예기치 못한 방향으로 흐르는데... 처음이라 더 잘하고 싶었던 보통 사람들의 가장 특별한 재판이 시작된다!"
27,27,악인전,악인전,3,2019,한국,범죄/액션,1시간 50분,"우연히 연쇄살인마의 표적이 되었다 살아난 조직 보스 장동수와 범인잡기에 혈안이 된 강력반 미친개 정태석. 타협할 수 없는 두 사람이 연쇄살인마 K를 잡기 위해 손잡는다.

표적은 하나, 룰도 하나
먼저 잡는 놈이 갖는다"
28,28,Juno,주노,4.5,2007,미국,코미디/드라마,1시간 35분,"교내밴드에서 기타를 치고, 슬래셔 무비와 하드코어 락을 좋아하는 독특한 소녀 ‘주노’(엘렌 페이지). 첫 성경험을 해야겠다고 결심한 그녀는 친한 친구 ‘블리커’(마이클 세라)를 그 상대로 정한다. 거실 의자 위에서 거사를 치른 2달 후, ‘주노’는 아기를 가졌다는 사실을 알게 된다. 뱃속의 아기도 심장이 뛰고, 손톱까지 있다는 말에 ‘주노’는 차마 수술을 하지 못하고 단짝 친구 ‘레아’(올리비아 썰비)의 조언에 따라 벼룩신문에서 아이를 소중히 키워줄 불임부부를 찾기 시작한다. 신문 광고 속 사진만큼이나 근사한 집과 출중한 외모, 직업을 가진 ‘바네사’(제니퍼 가너)와 ‘마크’(제이슨 베이트먼) 부부. 환상적인 부모라고 확신한 ‘주노’는 이들에게 아기를 주기로 104% 결심한다. 당장이라도 아기를 안겨주고 싶은 마음이 굴뚝같지만, 일단 몇 개월 동안 ‘주노’의 뱃속에서 무럭무럭 아이가 자라기를 기다리는 세 사람. ‘주노’의 볼록한 배가 남산만해질 무렵, 블리커가 같은 반 여자애랑 댄스파티에 간다는 소식에 격분할 틈도 없이, 꼼꼼하고 여성스러운 ‘바네사’와 쿨하고 자유스러운 ‘마크’의 사이가 심상치 않음을 알게 되는데…"
29,29,Captain Marvel ,캡틴 마블,3.5,2019,미국,액션/모험/SF,2시간 3분,"위기에 빠진 어벤져스의 희망!

1995년, 공군 파일럿 시절의 기억을 잃고 크리족 전사로 살아가던 캐럴 댄버스(브리 라슨)가 지구에 불시착한다. 쉴드 요원 닉 퓨리(사무엘 L. 잭슨)에게 발견되어 팀을 이룬 그들은 지구로 향하는 더 큰 위협을 감지하고 힘을 합쳐 전쟁을 끝내야 하는데…"
30,30,Avengers: Endgame,어벤져스: 엔드게임,4.5,2019,미국,액션/모험/SF,3시간 1분,"인피니티 워 이후 절반만 살아남은 지구, 마지막 희망이 된 어벤져스, 먼저 떠난 그들을 위해 모든 것을 걸었다. 위대한 어벤져스, 운명을 바꿀 최후의 전쟁이 펼쳐진다."
31,31,증인,증인,4.5,2018,한국,드라마,2시간 9분,"“목격자가 있어. 자폐아야”

신념은 잠시 접어두고 현실을 위해 속물이 되기로 마음먹은 민변 출신의 대형 로펌 변호사 ‘순호’(정우성). 파트너 변호사로 승진할 수 있는 큰 기회가 걸린 사건의 변호사로 지목되자 살인 용의자의 무죄를 입증하기 위해 유일한 목격자인 자폐 소녀 ‘지우’(김향기)를 증인으로 세우려 한다.

“아저씨도 나를 이용할 겁니까?”

자기만의 세계에 빠져 의사소통이 어려운 ‘지우’. ‘순호’는 사건 당일 목격한 것을 묻기 위해 ‘지우’를 찾아가지만, 제대로 된 인사조차 나누지 못한다. 하지만 그날의 이야기를 듣기 위해 지우에게 다가가려 노력하는 ‘순호’, 시간이 흐를수록 조금씩 ‘지우’에 대해 이해하게 되지만 이제 두 사람은 법정에서 변호사와 증인으로 마주해야 하는데…

마음을 여는 순간,
진실이 눈앞에 다가왔다"
32,32,Alita: Battle Angel,알리타: 배틀 엔젤,5,2019,"미국,캐나다,아르헨티나",액션/모험/로맨스/SF/스릴러,2시간 2분,"모두가 갈망하는 공중도시와 그들을 위해 존재하는 고철도시로 나누어진 26세기. 고철 더미 속 모든 기억을 잃은 채 깨어난 알리타는 마음 따뜻한 의사 이도의 보살핌으로 새로운 삶을 시작한다. 이도는 사이보그인 알리타에게 특별한 과거의 비밀과 영혼이 존재한다는 사실을 깨닫고 미스터리한 과거로부터 그녀를 지키고자 한다. 한편, 새로운 친구 휴고는 알리타가 위험한 고철도시를 헤쳐나갈 수 있는 방법과 함께 기억을 되찾도록 돕는다. 알리타가 자신의 과거에 다가 갈수록 도시를 지배하는 악랄한 세력들이 그녀를 노리며 제거하려고 하고 자신이 착취와 약탈의 고철도시를 구할 수 있는 열쇠임을 깨닫게 된 알리타는 사랑하는 가족과 친구, 새로운 세상을 위해 통제된 세상의 무시무시한 적들과 맞서게 되는데…"
33,33,Before I Go to Sleep,내가 잠들기 전에,3,2014,영국,드라마/공포/미스터리/스릴러,1시간 32분,"매일 아침, 과거의 기억이 사라진 채 남편의 품에서 깨어나는 크리스틴. 매일 아내에게 그녀가 누구인지를 알려주는 벤 그리고 크리스틴의 상태를 알고 아침마다 통화하며 기억을 되찾아 주려고 하는 내쉬 박사. 무언가 심상치 않은 기운을 느끼던 그녀는 내쉬 박사와의 상담을 통해 자신의 사고와 관련된 충격적인 사실을 알게 된다. 매일 아침이 되면 기억을 잃고, 그 누구도 믿을 수 없는 상황에서 과연, 그녀는 자신의 기억을 되찾을 수 있을까?"
34,34,The Man from the Future,미래에서 온 남자,2,2011,브라질,판타지/코미디,1시간 45분,천재 과학자 제로는 과거로 돌아갈 수 있는 장치를 발명한다. 사실 그가 이 장치를 발명한 이유는 대학교 때 짝사랑하는 헬레나에게 공개적으로 망신당했던 기억 때문이다. 씻을 수 없는 상처를 입은 후 평생을 씁쓸하고 냉소적으로 살아온 제로는 과거로 돌아가 20년 전 자신에게 그 순간을 피하라고 귀띔한다. 달라진 과거로 인해 자신의 미래가 어떻게 변화될 지 미처 예상하지 못한 채. [18회 부천국제판타스틱영화제]
35,35,Concussion,게임 체인저,3,2015,"미국,호주,영국",드라마/스포츠,2시간 3분,"2002년 피츠버그에서 검시관으로 일하는 나이지리아 출신의 병리학자 베넷 오말루 박사(윌 스미스)는 50세 남자 마이크 웹스터(데이비스 모스)의 부검을 맡는다. 자신의 트럭에서 죽은 채 발견된 마이크는 프로 풋볼팀 ‘피츠버그 스틸러스’의 스타 플레이어 출신. 마이크의 뇌를 해부한 오말루 박사는 그가 경기 중에 뇌진탕에 버금가는 충격을 계속 받아왔고, 이로 인해 뇌가 손상되어 알츠하이머 비슷한 증세를 겪었음을 알게 된다. 오말루 박사는 ‘만성 외상성 뇌병증(CTE)'이라는 병명을 붙여 의학 학술지에 발표한다. 이후 오말루 박사는 자살한 풋볼 선수 테리 롱도 마이크와 동일한 증상이 있었음을 확인하는 한편 스틸러스의 팀 의사였던 줄리안 베일스 박사(알렉 볼드윈)를 통해 자신의 연구를 뒷받침하는 충격적인 사실을 전해듣는다. 위기를 느낀 미국 프로풋볼연맹 (NFL)은 연구 결과를 철회하라면서 오말루 박사를 협박하고, 그의 아내 프리마(구구 바샤-로)를 스토킹한다. 한계를 느낀 오말루 박사는 NFL과의 싸움을 포기하고 캘리포니아로 떠나는데..."
36,36,Aquaman,아쿠아맨,3,2018,"호주,미국",액션/SF/모험/판타지,2시간 23분,"땅의 아들이자 바다의 왕, 심해의 수호자인 슈퍼히어로 아쿠아맨의 지상 세계와 수중 세계를 오가는 위대한 여정과 탄생을 그린 액션 블록버스터"
37,37,A Simple Favor,부탁 하나만 들어줘,3.5,2018,"캐나다,미국",코미디/범죄/드라마/미스터리/스릴러,1시간 57분,"멋진 커리어우먼, 매력적인 아내, 아름다운 엄마… 모든 걸 다 갖춘 완벽한 여자 ‘에밀리’가 사라졌다. 그리고 발견된 시체… 모든 것이 내 것이 됐다고 생각한 순간. 에밀리가 돌아왔다!"
